"filename", "language", "JavaScript React", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\App.jsx", "JavaScript React", 22, 0, 0, 3, 6, 31
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\App.scss", "SCSS", 0, 0, 11, 0, 0, 11
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Actus.jsx", "JavaScript React", 35, 0, 0, 1, 7, 43
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Footer.jsx", "JavaScript React", 29, 0, 0, 0, 7, 36
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Header.jsx", "JavaScript React", 75, 0, 0, 46, 18, 139
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Header2.jsx", "JavaScript React", 41, 0, 0, 0, 6, 47
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Infos.jsx", "JavaScript React", 34, 0, 0, 0, 5, 39
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Landing.jsx", "JavaScript React", 24, 0, 0, 2, 8, 34
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\ModuleInfos.jsx", "JavaScript React", 22, 0, 0, 0, 6, 28
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Partenaires.jsx", "JavaScript React", 44, 0, 0, 1, 6, 51
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Particules.jsx", "JavaScript React", 9, 0, 0, 0, 4, 13
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Programmation.jsx", "JavaScript React", 41, 0, 0, 0, 6, 47
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Socials.jsx", "JavaScript React", 20, 0, 0, 0, 6, 26
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Hooks\useContext.jsx", "JavaScript React", 2, 0, 0, 0, 3, 5
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Hooks\useFetch.jsx", "JavaScript React", 23, 0, 0, 0, 4, 27
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Pages\Accueil.jsx", "JavaScript React", 27, 0, 0, 0, 4, 31
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Pages\InfosFullPage.jsx", "JavaScript React", 27, 0, 0, 0, 6, 33
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\_settings.scss", "SCSS", 0, 0, 12, 0, 1, 13
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_actus.scss", "SCSS", 0, 0, 97, 10, 23, 130
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_footer.scss", "SCSS", 0, 0, 29, 0, 6, 35
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_header.scss", "SCSS", 0, 0, 235, 3, 50, 288
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_infos.scss", "SCSS", 0, 0, 115, 0, 33, 148
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_landing.scss", "SCSS", 0, 0, 3, 13, 4, 20
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_partenaires.scss", "SCSS", 0, 0, 42, 0, 12, 54
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_programmation.scss", "SCSS", 0, 0, 74, 0, 19, 93
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_socials.scss", "SCSS", 0, 0, 30, 48, 10, 88
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\pages\_InfosFullPage.scss", "SCSS", 0, 0, 45, 0, 8, 53
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\pages\_accueil.scss", "SCSS", 0, 0, 12, 4, 2, 18
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\config.jsx", "JavaScript React", 2, 0, 0, 0, 0, 2
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\index.css", "CSS", 0, 16, 0, 6, 2, 24
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\main.jsx", "JavaScript React", 9, 0, 0, 0, 2, 11
"Total", "-", 486, 16, 705, 137, 274, 1618
