"filename", "language", "JavaScript React", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\App.jsx", "JavaScript React", 2, 0, 0, 0, 0, 2
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\App.scss", "SCSS", 0, 0, 1, 0, 0, 1
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Header.jsx", "JavaScript React", 0, 0, 0, -45, 0, -45
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\Programmation.jsx", "JavaScript React", 19, 0, 0, 2, 5, 26
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\ProgrammationArtiste.jsx", "JavaScript React", 80, 0, 0, 0, 18, 98
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Components\ProgrammationScene.jsx", "JavaScript React", 26, 0, 0, 0, 3, 29
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\Pages\ProgrammationFullPage.jsx", "JavaScript React", 25, 0, 0, 0, 3, 28
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\_settings.scss", "SCSS", 0, 0, 61, 1, 13, 75
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_actus.scss", "SCSS", 0, 0, 1, 0, 0, 1
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_footer.scss", "SCSS", 0, 0, 6, 0, 2, 8
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_header.scss", "SCSS", 0, 0, 2, 0, 0, 2
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_infos.scss", "SCSS", 0, 0, 1, 0, 0, 1
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_landing.scss", "SCSS", 0, 0, 8, 0, 1, 9
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_partenaires.scss", "SCSS", 0, 0, 16, 0, 8, 24
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\components\_programmation.scss", "SCSS", 0, 0, 70, 0, 21, 91
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\pages\_InfosFullPage.scss", "SCSS", 0, 0, 1, 0, 0, 1
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\assets\styles\pages\_ProgrammationFullPage.scss", "SCSS", 0, 0, 9, 0, 0, 9
"c:\Users\AKAJ\Documents\Entreprise\Festival Nath\Agatha Site\frontend_agatha\src\index.css", "CSS", 0, -1, 0, 1, 0, 0
"Total", "-", 152, -1, 176, -41, 74, 360
